"model","Accuracy","Kappa","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Detection_Rate","Mean_Balanced_Accuracy","Multiclass_AUC"
"flat",0.654008998342411,0.315633580507556,0.363002988153997,0.828627693917104,0.512232991778106,0.852468844496147,0.163502249585603,0.595815341035551,0.70352372417735
"full",0.653705896282264,0.31303763924486,0.359408075562609,0.827904534762564,0.536833770956368,0.85252425889123,0.163426474070566,0.593656305162586,0.700397952999565
"cl",0.641828084300261,0.321589789054092,0.395173172152234,0.831952038514407,0.45522720414427,0.844506461321509,0.160457021075065,0.613562605333321,0.714160066944789
"bl",0.639696897939853,0.328212128899392,0.40364477836312,0.834580303459577,0.451507374915263,0.84253668380628,0.159924224484963,0.619112540911349,0.713701270044467
"ml",0.642339569026758,0.323850897149769,0.396534692682314,0.832748181315046,0.46238847802509,0.8445504334701,0.16058489225669,0.61464143699868,0.716344019075175
"cl_nn",0.63425053279659,0.280703163771571,0.348428777909649,0.82042186509344,NA,0.838658262518392,0.158562633199148,0.584425321501544,0.667852461314851
"bl_nn",0.635207198673928,0.29025543535119,0.351971360340255,0.823515094485372,NA,0.837665977645179,0.158801799668482,0.587743227412813,0.668212416774313
"ml_nn",0.638134027942221,0.287933944850057,0.345060149869754,0.822699790104191,0.424060623247427,0.84031764426411,0.159533506985555,0.583879969986972,0.675915790433358
"xgb_ensemble",0.661139415519233,0.350410902586009,NA,0.919902161291322,NA,NA,0.0826424269399042,NA,0.73123386997204
"nn_ensemble",0.662275800678043,0.349806521607993,0.377968736694046,0.839368318141932,NA,0.853284691551578,0.165568950169511,0.608668527417989,0.733461643300538
"baseline_cum_gpa",0.521858335374701,0.212360543815751,0.35655870639557,0.812547923275742,0.380960008768571,0.806773046675873,0.130464583843675,0.584553314835656,0.68543048199291
"baseline_majority_class",0.57207597655882,0,0.25,0.75,NA,NA,0.143018994139705,0.5,0.5
