"","names.traindata."
"1","CRSE_GRD_OFFCL_CD"
"2","UNITS_TAKEN_NBR"
"3","UNITS_ERND_NBR"
"4","EARN_CR_IND"
"5","INCL_GPA_IND"
"6","SBJCT_CD"
"7","CRSE_OFFER_NBR"
"8","SESSN_CD"
"9","CRSE_CMPNT_CD"
"10","CLASS_HOME_IND_CD"
"11","CMBN_SCTN_MEET_TGTHR_IND"
"12","CMBN_SCTN_CROSS_LSTD_IND"
"13","CMBN_SCTN_UG_GRAD_IND"
"14","CLASS_HONORS_IND"
"15","CLASS_ENRL_TOTAL_NBR"
"16","CMBN_CLASS_ENRL_TOTAL_NBR"
"17","INSTRN_MODE_CD"
"18","FCLTY_SOUND_PGM_IND"
"19","FCLTY_SOUND_VOICE_IND"
"20","FCLTY_BLACK_OUT_IND"
"21","FCLTY_PC_IND"
"22","FCLTY_MAC_IND"
"23","FCLTY_PDM_PC_IND"
"24","FCLTY_PDM_MAC_IND"
"25","FCLTY_WHITE_BOARD_25_FT_IND"
"26","FCLTY_CHALK_BOARD_25_FT_IND"
"27","FCLTY_VCR_IND"
"28","FCLTY_DVD_IND"
"29","FCLTY_VIDEO_CNFRNC_IND"
"30","FCLTY_LCTR_CPTR_IND"
"31","FCLTY_DOC_CAMERA_IND"
"32","FCLTY_16MM_FILM_IND"
"33","FCLTY_35MM_FILM_IND"
"34","FCLTY_DGTL_DATA_AND_VIDEO_IND"
"35","FCLTY_TIERED_FLR_IND"
"36","FCLTY_STAGE_IND"
"37","FCLTY_ADTRM_SEAT_IND"
"38","FCLTY_ANY_TBLS_IND"
"39","FCLTY_MVBL_TBLS_IND"
"40","FCLTY_MVBL_TBLS_CHAIR_IND"
"41","FCLTY_TBL_CNFRNC_SMNR_IND"
"42","MULT_CLASS_MTG_IND"
"43","CLASS_MTG_MON_IND"
"44","CLASS_MTG_TUES_IND"
"45","CLASS_MTG_WED_IND"
"46","CLASS_MTG_THURS_IND"
"47","CLASS_MTG_FRI_IND"
"48","CLASS_MTG_SAT_IND"
"49","CLASS_MTG_SUN_IND"
"50","RESCO_IND"
"51","SPPLMNT_STUDY_IND"
"52","TEACH_CERT_IND"
"53","HONORS_PGM_IND"
"54","ACAD_CRER_CNT"
"55","ACAD_PGM_CNT"
"56","ACAD_MAJOR_CNT"
"57","ACAD_MINOR_CNT"
"58","PRMRY_CRER_CD"
"59","REG_STAT_CD"
"60","RES_CD"
"61","ACAD_LOAD_CD"
"62","CRER_LVL_CD"
"63","ACAD_LVL_BOT_CD"
"64","ACAD_LVL_EOT_CD"
"65","UNIT_TAKEN_GPA"
"66","UNIT_TAKEN_NO_GPA"
"67","PREV_TERM_CUM_GPA"
"68","STDNT_GNDR_CD"
"69","STDNT_BIRTH_YR"
"70","STDNT_BIRTH_MO"
"71","STDNT_ASIAN_IND"
"72","STDNT_BLACK_IND"
"73","STDNT_HWIAN_IND"
"74","STDNT_HSPNC_IND"
"75","STDNT_NTV_AMRCN_IND"
"76","STDNT_WHITE_IND"
"77","STDNT_ETHNC_GRP_CD"
"78","STDNT_MULTI_ETHNC_IND"
"79","STDNT_HSPNC_LATINO_IND"
"80","STDNT_UNDREP_MNRTY_IND"
"81","STDNT_NTV_ENG_SPKR_IND"
"82","STDNT_CTZN_STAT_CD"
"83","ADMSSN_VTRN_IND"
"84","SNGL_PRNT_IND"
"85","HS_CALC_IND"
"86","HS_CHEM_LAB_IND"
"87","HS_GPA"
"88","UM_UG_DGR_CNT"
"89","UM_UG_DGR_MAJOR_CNT"
"90","UM_UG_DGR_MINOR_CNT"
"91","UM_GRAD_DGR_CNT"
"92","UM_GRAD_DGR_MAJOR_CNT"
"93","UM_GRAD_DGR_MINOR_CNT"
"94","UM_OTHER_DGR_CNT"
"95","ML_GPA"
"96","CL_BIN_.0.1."
"97","CL_BIN_.1.2."
"98","CL_BIN_.2.3."
"99","CL_BIN_.3.4."
"100","CL_BIN_.4.100."
"101","BL_BIN_.0.1."
"102","BL_BIN_.1.2."
"103","BL_BIN_.2.3."
"104","BL_BIN_.3.4."
"105","BL_BIN_.4.100."
"106","CL_BIN_NBR.0.1."
"107","CL_BIN_NBR.1.2."
"108","CL_BIN_NBR.2.3."
"109","CL_BIN_NBR.3.4."
"110","CL_BIN_NBR.4.100."
"111","BL_BIN_NBR.0.1."
"112","BL_BIN_NBR.1.2."
"113","BL_BIN_NBR.2.3."
"114","BL_BIN_NBR.3.4."
"115","BL_BIN_NBR.4.100."
"116","ML_NBR_GPA"
